City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Buenos Aires,AR,2022-11-08 23:11:05,-34.6132,-58.3772,71.49,79,0,19.57
98,East London,ZA,2022-11-08 23:07:54,-33.0153,27.9116,64.65,89,20,3.76
99,Saskylakh,RU,2022-11-08 23:11:11,71.9167,114.0833,-3.24,99,100,1.63
100,Astolfo Dutra,BR,2022-11-08 23:11:11,-21.3153,-42.8622,67.66,98,82,3.51
101,Preobrazheniye,RU,2022-11-08 23:11:11,42.9019,133.9064,45.64,89,64,8.9
102,Jamestown,US,2022-11-08 23:11:12,42.097,-79.2353,44.24,65,0,11.5
103,Nanortalik,GL,2022-11-08 23:11:12,60.1432,-45.2371,27.34,70,25,9.26
104,Vad,RU,2022-11-08 23:06:44,55.5301,44.2114,38.21,92,100,13.51
105,Touros,BR,2022-11-08 23:11:13,-5.1989,-35.4608,78.49,79,29,11.03
106,Bathsheba,BB,2022-11-08 23:11:14,13.2167,-59.5167,83.01,78,40,20.71
107,Udachnyy,RU,2022-11-08 23:11:14,66.4167,112.4,4.66,98,99,4.16
108,Talnakh,RU,2022-11-08 23:11:14,69.4865,88.3972,-15.57,96,44,2.39
109,Hermanus,ZA,2022-11-08 23:11:15,-34.4187,19.2345,59.81,78,71,10.76
110,Porto Novo,BJ,2022-11-08 23:11:15,6.4965,2.6036,80.47,80,90,7.85
111,Saint-Joseph,RE,2022-11-08 23:11:16,-21.3667,55.6167,75.47,82,41,7.38
112,Bengkulu,ID,2022-11-08 23:11:16,-3.8004,102.2655,75.69,90,100,3.83
113,Constitucion,CL,2022-11-08 23:10:56,-35.3333,-72.4167,56.39,88,100,5.61
114,Port Lincoln,AU,2022-11-08 23:06:38,-34.7333,135.8667,70.86,61,100,17.52
115,Le Port,RE,2022-11-08 23:11:17,-20.9373,55.2919,76.89,91,48,4.12
116,Namibe,AO,2022-11-08 23:11:17,-15.1961,12.1522,66.16,81,1,10.0
117,Mweka,CD,2022-11-08 23:11:17,-4.85,21.5667,67.55,99,73,1.39
